,ANO_BO,NUM_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,BO_AUTORIA,FLAGRANTE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO
972,2017,3895,2017-06-11 15:57:14,2017-06-11 16:11:33,2017-01-11 00:00:00,A NOITE,2017-06-11 00:00:00,Desconhecida,Não,RUA SÃO GABRIEL SOUZA LOPES,2.0,JACANA,S.PAULO,SP,"-23,438,341,792","-46,566,432,138",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,39º D.P. VILA GUSTAVO,73º D.P. JACANA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EEI9791,SP,S.PAULO,Preta,CITROEN/C3 GLX 14 FLEX,2011.0,2012.0,AUTOMOVEL
990,2017,2384,2017-06-11 16:34:38,2017-06-11 16:43:22,2017-04-11 00:00:00,A NOITE,2017-06-11 00:00:00,Desconhecida,Não,RUA AURORA PRADO TONOCCHI,758.0,JARDIM NOSSA SENHORA AUXILIADORA,HORTOLANDIA,SP,"-22,851,085,832","-472,068,079,979,999",Via pública,,BO PARA REGISTRO,DEL.POL.HORTOLÂNDIA,01º D.P. HORTOLÂNDIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PVN2882,MG,BELO HORIZONTE,Branco,FIAT/UNO VIVACE 1.0,2015.0,2015.0,AUTOMOVEL
999,2017,322,2017-06-11 13:21:28,2017-06-11 17:03:18,2017-06-11 00:00:00,A TARDE,2017-06-11 00:00:00,Conhecida,Sim,AVENIDA TALMA DE OLIVEIRA,60.0,TATUAPE,S.PAULO,SP,"-235,256,812,031,025","-465,576,697,252,564",Via pública,IC-IML,BO PARA FLAGRANTE,DEIC - 3ª DELEGACIA DA DIVECAR,52º D.P. PARQUE S.JORGE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FZW4438,SP,ARUJA,Branco,VW/NOVA SAVEIRO RB MBVS,2017.0,2017.0,CAMINHONETE
1005,2017,9107,2017-06-11 16:28:29,2017-06-11 17:03:43,2017-06-11 00:00:00,A TARDE,2017-06-11 00:00:00,Desconhecida,Não,RUA PROFESSSOR MIGUEL DE CARVALHO,210.0,JD SÃO RAFAEL,CAMPINAS,SP,"-228,786,782,956,842","-470,462,141,773,859",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,PLANTÃO - 04 DP CAMPINAS,04º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FMV1511,SP,CAMPINAS,Branco,CHEVROLET/CELTA 1.0L LT,2014.0,2014.0,AUTOMOVEL
1027,2017,9109,2017-09-27 23:20:16,2017-09-28 01:02:44,2017-09-27 00:00:00,A NOITE,2017-09-27 00:00:00,Conhecida,Sim,RUA DOMINGOS FAUSTINO SARMIENTO,10.0,CIDADE DUTRA,S.PAULO,SP,"-237,447,402,001,818","-467,093,313,624,545",Via pública,IC-IML,BO PARA FLAGRANTE,101º D.P. JDIM IMBUIAS,85º D.P. JARDIM MIRNA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CMJ5256,SP,S.PAULO,Verde,GM/KADETT GLS,1998.0,1998.0,AUTOMOVEL
1035,2017,8889,2017-09-27 22:46:35,2017-09-28 01:24:19,2017-09-27 00:00:00,A NOITE,2017-09-27 00:00:00,Conhecida,Sim,AVENIDA CORREGO TIJUCO PRETO,75.0,ITAIM PAULISTA,S.PAULO,SP,"-234,940,226,393,928","-463,860,160,653,928",Via pública,IC-IML,BO PARA FLAGRANTE,50º D.P. ITAIM PAULISTA,50º D.P. ITAIM PAULISTA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,KNN4022,SP,S.PAULO,Branco,VW/GOL CLI,1996.0,1996.0,AUTOMOVEL
1052,2017,1372,2017-09-28 03:47:04,2017-09-28 05:23:52,2017-09-28 00:00:00,DE MADRUGADA,2017-09-28 00:00:00,Conhecida,Sim,RUA JOÃO MARTINS SOBRINHO,92.0,PQ SAO LUIS,CUBATAO,SP,"-239,248,653,253,461","-464,141,810,638,461",Via pública,,BO PARA FLAGRANTE,DEL.POL.CUBATÃO,02º D.P. CUBATÃO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,ESO2115,SP,CUBATAO,Preta,HONDA/LEAD 110,2011.0,2011.0,MOTONETA
1166,2017,4536,2017-05-10 13:31:13,2017-05-10 14:07:08,2017-09-27 00:00:00,A NOITE,2017-05-10 00:00:00,Conhecida,Não,AVENIDA VINTE E NOVE DE ABRIL,35.0,VILA BELEM,ITATIBA,SP,"-230,076,803,101,293","-468,439,304,934,888",Comércio e serviços,,BO PARA REGISTRO,DEL.POL.ITATIBA,DEL.POL.ITATIBA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FIO1080,SP,ITATIBA,Vermelho,FIAT/UNO MILLE EX,1998.0,1999.0,AUTOMOVEL
1171,2017,2928,2017-05-10 13:18:13,2017-05-10 14:14:10,2017-04-10 00:00:00,A NOITE,2017-05-10 00:00:00,Desconhecida,Não,RUA JOSE QUINTANA GONZALES,4685.0,JARDIM VETORAZZO,S.JOSE DO RIO PRETO,SP,"-20,797,627,533","-494,224,872,029,999",Via pública,,BO PARA INVESTIGAÇÃO,04º D.P. S.JOSE RIO PRETO,06º D.P. S.JOSE RIO PRETO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FFH3279,SP,S.JOSE DO RIO PRETO,Prata,FIAT/UNO MILLE WAY ECON,2012.0,2013.0,AUTOMOVEL
1202,2017,586,2017-05-10 14:20:59,2017-05-10 15:11:14,2017-05-09 00:00:00,A TARDE,2017-05-10 00:00:00,Desconhecida,Não,RUA EDITE,64.0,VILA GALVÃO,GUARULHOS,SP,"-234,591,664,894,999","-465,685,764,791,111",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEIC - 1ª DELEGACIA DA DIVECAR,02º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,GBM2858,SP,S.PAULO,Prata,HYUNDAI/HB20S 1.6A PREM,2015.0,2015.0,AUTOMOVEL
1217,2017,3594,2017-12-13 02:03:41,2017-12-13 03:30:33,2017-12-13 00:00:00,DE MADRUGADA,2017-12-13 00:00:00,Desconhecida,Não,RUA ATÍLIO PRATAVIEIRA,0.0,VL BELA VISTA,S.CARLOS,SP,"-22,029,032,179","-478,965,995,337,142",Via pública,,BO PARA INVESTIGAÇÃO,DEL.SEC.SÃO CARLOS PLANTÃO,02º D.P. SÃO CARLOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,JEL0258,SP,S.CARLOS,Cinza,FORD/ESCORT L,1991.0,1991.0,AUTOMOVEL
1223,2017,5863,2017-12-13 03:01:01,2017-12-13 04:58:47,2017-12-12 00:00:00,A NOITE,2017-12-13 00:00:00,Conhecida,Não,RUA LOTH SEBASTIÃO PELLEGRINI,175.0,JARDIM MORRO AZUL,LIMEIRA,SP,"-225,584,008,702,537","-474,281,444,856,567",Via pública,,ENCAM FEBEM/V.INFAN.JUVENTUDE,DEL.SEC.LIMEIRA PLANTÃO,02º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DBY8073,SP,ITAPIRA,Branco,FIAT/UNO MILLE SMART,2000.0,2001.0,AUTOMOVEL
1227,2017,5865,2017-12-13 05:03:51,2017-12-13 05:47:15,2017-12-12 00:00:00,A NOITE,2017-12-13 00:00:00,Desconhecida,Não,RUA ARMANDO SALES,210.0,VILA TANK,LIMEIRA,SP,"-225,617,941,560,363","-474,093,991,498,181",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.SEC.LIMEIRA PLANTÃO,01º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DEW1334,SP,LIMEIRA,Cinza,FIAT/PALIO ELX,2001.0,2001.0,AUTOMOVEL
1258,2017,17230,2017-12-13 09:09:04,2017-12-13 10:13:41,2017-12-13 00:00:00,PELA MANHÃ,2017-12-13 00:00:00,Desconhecida,Não,RUA PAULO MAIER CATINI,681.0,VILA NOVA ESPERANCA,SOROCABA,SP,"-234,924,020,733,032","-474,927,430,823,204",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,PLANTÃO DE SOROCABA - Z. NORTE,04º D.P. SOROCABA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,BYA3303,SP,SOROCABA,Verde,FIAT/FIAT ELBA S,1986.0,1986.0,AUTOMOVEL
1412,2017,3939,2017-07-10 23:11:49,2017-08-10 02:21:15,2017-07-10 00:00:00,A NOITE,2017-07-10 00:00:00,Conhecida,Sim,AVENIDA JORGE ABRAÃO,551.0,JD JAMAICA,SERTAOZINHO,SP,"-211,232,737,233,395","-479,941,039,597,537",Via pública,,BO PARA FLAGRANTE,DEL.SEC.SERTÃOZINHO PLANTÃO,DEL.POL.SERTÃOZINHO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BZP0696,SP,SERTAOZINHO,Cinza,FIAT/UNO ELETRONIC,1994.0,1994.0,AUTOMOVEL
1420,2017,9694,2017-08-10 02:42:29,2017-08-10 03:11:24,2017-07-10 00:00:00,A NOITE,2017-08-10 00:00:00,Desconhecida,Não,RUA PRIMEIRO DE JANEIRO,954.0,MIRIM,PRAIA GRANDE,SP,"-240,295,372,405,593","-464,925,423,438,304",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.PRAIA GRANDE,DEL.POL.PRAIA GRANDE,Localização e/ou Devolução,Entrega de objeto localizado/apreendido,Consumado,CHX5236,SP,S.PAULO,Prata,VW/GOL CLI,1996.0,1996.0,AUTOMOVEL
1425,2017,6573,2017-08-10 02:48:54,2017-08-10 03:18:27,2017-08-10 00:00:00,DE MADRUGADA,2017-08-10 00:00:00,Desconhecida,Não,,0.0,,,,,,Residência,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.PLANTÃO INDAIATUBA,01º D.P. INDAIATUBA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CNQ9172,SP,INDAIATUBA,Cinza,FIAT/UNO MILLE SX,1997.0,1998.0,AUTOMOVEL
1451,2017,5732,2017-07-10 20:49:20,2017-08-10 04:44:39,2017-07-10 00:00:00,A TARDE,2017-07-10 00:00:00,Conhecida,Sim,RODOVIA PRESIDENTE DUTRA (BR 116),223.0,CENTRO,GUARULHOS,SP,"-234,773,354,613,254","-465,278,100,572,777",Rodovia/Estrada,IC-IML,BO PARA FLAGRANTE,01º D.P. GUARULHOS,01º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,CBP3815,SP,GUARULHOS,Prata,FORD/ESCORT 1.6I GL,1995.0,1995.0,AUTOMOVEL
1452,2017,5732,2017-07-10 20:49:20,2017-08-10 04:44:39,2017-07-10 00:00:00,A TARDE,2017-07-10 00:00:00,Conhecida,Sim,RODOVIA PRESIDENTE DUTRA (BR 116),223.0,CENTRO,GUARULHOS,SP,"-234,773,354,613,254","-465,278,100,572,777",Rodovia/Estrada,IC-IML,BO PARA FLAGRANTE,01º D.P. GUARULHOS,01º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,DLM3461,SP,GUARULHOS,Prata,GM/ASTRA HATCH 5P CD,2004.0,2004.0,AUTOMOVEL
1453,2017,5732,2017-07-10 20:49:20,2017-08-10 04:44:39,2017-07-10 00:00:00,A TARDE,2017-07-10 00:00:00,Conhecida,Sim,RODOVIA PRESIDENTE DUTRA (BR 116),223.0,CENTRO,GUARULHOS,SP,"-234,773,354,613,254","-465,278,100,572,777",Rodovia/Estrada,IC-IML,BO PARA FLAGRANTE,01º D.P. GUARULHOS,01º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,EYJ2300,SP,GUARULHOS,Preta,HONDA/CITY LX FLEX,2012.0,2013.0,AUTOMOVEL
1454,2017,5732,2017-07-10 20:49:20,2017-08-10 04:44:39,2017-07-10 00:00:00,A TARDE,2017-07-10 00:00:00,Conhecida,Sim,RODOVIA PRESIDENTE DUTRA (BR 116),223.0,CENTRO,GUARULHOS,SP,"-234,773,354,613,254","-465,278,100,572,777",Rodovia/Estrada,IC-IML,BO PARA FLAGRANTE,01º D.P. GUARULHOS,01º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,OLR0140,SP,S.PAULO,Prata,RENAULT/DUSTER 16 D 4X2,2012.0,2013.0,CAMIONETA
1483,2017,2108,2017-08-10 08:29:28,2017-08-10 08:50:16,2017-08-10 00:00:00,DE MADRUGADA,2017-08-10 00:00:00,Desconhecida,Não,RUA REGINA NOGUEIRA,736.0,SÃO GABRIEL,CAMPINAS,SP,"-229,171,941,435,287","-470,541,704,723,639",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,PLANTÃO - 05 DP CAMPINAS,05º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CYZ0621,SP,CAMPINAS,Prata,GM/CORSA GLS,1999.0,1999.0,AUTOMOVEL
1538,2017,5886,2017-01-11 20:46:56,2017-01-11 21:08:55,2017-01-11 00:00:00,PELA MANHÃ,2017-01-11 00:00:00,Desconhecida,Não,RUA JOAO TIBIRICA,0.0,LAPA,S.PAULO,SP,"-235,164,999,359,999","-46,725,937,872",Via pública,,BO PARA INVESTIGAÇÃO,91º D.P. CEASA,91º D.P. CEASA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FDK7721,SP,S.PAULO,Preta,RENAULT/LOGAN AUTH 10,2017.0,2018.0,AUTOMOVEL
1546,2017,6923,2017-01-11 21:10:47,2017-01-11 21:23:49,2017-10-31 00:00:00,A NOITE,2017-01-11 00:00:00,Desconhecida,Não,RUA CONSTANTINO DE SOUSA,349.0,CAMPO BELO,S.PAULO,SP,"-236,199,949,864,737","-466,761,033,104,737",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,01º D.P. SANTO ANDRÉ,27º D.P. IBIRAPUERA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,HXP2933,SP,S.PAULO,Prata,I/FORD RANGER XLT 13P,2008.0,2008.0,CAMINHONETE
1575,2017,6433,2017-01-11 21:31:53,2017-01-11 22:29:59,2017-01-11 00:00:00,A NOITE,2017-01-11 00:00:00,Conhecida,Sim,AVENIDA ANTÔNIO PIRANGA,641.0,CENTRO,DIADEMA,SP,"-236,860,193,522,001","-466,187,031,529,733",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,01º D.P. DIADEMA,01º D.P. DIADEMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DJJ3512,SP,MAIRIPORA,Azul,HONDA/CBX 250 TWISTER,2003.0,2004.0,MOTOCICLO
1602,2017,1449,2017-07-08 16:51:20,2017-07-08 18:52:31,2017-07-08 00:00:00,A TARDE,2017-07-08 00:00:00,Conhecida,Não,RUA BOLÍVIA,0.0,JARDIM INTERLAGOS,HORTOLANDIA,SP,"-228,903,174,559,999","-47,203,634,227",Via pública,IML,APRECIAÇÃO DO DELEGADO TITULAR,02º D.P. HORTOLÂNDIA,02º D.P. HORTOLÂNDIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,ESY9131,SP,HORTOLANDIA,Vermelho,HONDA/CG 150 FAN ESI,2011.0,2011.0,MOTOCICLO
1622,2017,6500,2017-07-08 19:21:33,2017-07-08 19:35:42,2017-06-08 00:00:00,A NOITE,2017-07-08 00:00:00,Desconhecida,Não,RUA ALFREDO OTAVIANO POMPÉU DO AMARAL,226.0,JD AMOREIRAS,CAMPINAS,SP,"-229,575,999,094,902","-471,063,514,091,124",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.2ª CAMPINAS-PLANTÃO,06º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,AMT9506,SP,CAMPINAS,Cinza,GM/CLASSIC LIFE,2005.0,2005.0,AUTOMOVEL
1723,2017,886,2017-08-03 10:13:44,2017-08-03 13:03:26,2017-08-03 00:00:00,PELA MANHÃ,2017-08-03 00:00:00,Conhecida,Sim,AVENIDA SAPOPEMBA,10800.0,SAPOPEMBA,S.PAULO,SP,"-236,063,615,607,497","-465,078,291,955,164",Via pública,IML,BO PARA FLAGRANTE,70º D.P. VILA EMA,70º D.P. VILA EMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DIG7828,SP,S.ANDRE,Branco,I/PEUGEOT PARTNER FURGAO,2001.0,2001.0,CAMIONETA
1748,2017,2505,2017-08-03 12:01:30,2017-08-03 13:39:32,2017-08-03 00:00:00,PELA MANHÃ,2017-08-03 00:00:00,Conhecida,Não,RUA ORIENTE ROSALÉM,600.0,SAO DOMINGOS,AMERICANA,SP,"-227,316,616,433,846","-473,389,021,432,307",Via pública,IC,ENCAM FEBEM/V.INFAN.JUVENTUDE,DEL.SEC.AMERICANA PLANTÃO,01º D.P. AMERICANA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EHO8847,SP,AMERICANA,Cinza,HONDA/CG150 TITAN MIXESD,2009.0,2009.0,MOTOCICLO
1750,2017,2187,2017-08-03 13:28:57,2017-08-03 13:39:50,2017-07-03 00:00:00,PELA MANHÃ,2017-08-03 00:00:00,Desconhecida,Não,RUA BAIACU,225.0,ELDORADO,DIADEMA,SP,"-237,243,208,408,101","-466,244,484,501,156",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,101º D.P. JDIM IMBUIAS,04º D.P. DIADEMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EDR6068,SP,S.CAETANO DO SUL,Cinza,FIAT/UNO MILLE FIRE FLEX,2008.0,2008.0,AUTOMOVEL
1785,2017,31,2017-05-01 08:55:48,2017-05-01 10:38:06,2017-05-01 00:00:00,DE MADRUGADA,2017-05-01 00:00:00,Conhecida,Sim,AVENIDA FRANCISCO PEREIRA LOPES,0.0,CHACARA BATAGLIA,S.CARLOS,SP,"-220,043,817,239,999","-47,886,083,959",Via pública,IC-IML,APRECIAÇÃO DO DELEGADO TITULAR,03º D.P. SÃO CARLOS,03º D.P. SÃO CARLOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,GLV4901,SP,S.CARLOS,Bege,VW/SANTANA,1985.0,1986.0,AUTOMOVEL
1813,2017,63,2017-05-01 10:34:18,2017-05-01 11:34:44,2017-04-01 00:00:00,PELA MANHÃ,2017-05-01 00:00:00,Desconhecida,Não,AVENIDA SAPOPEMBA,7830.0,SAPOPEMBA,S.PAULO,SP,"-236,002,271,509,855","-465,136,361,147,399",Via pública,,BO PARA INVESTIGAÇÃO,70º D.P. VILA EMA,70º D.P. VILA EMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CBW5118,SP,S.PAULO,Vermelho,FIAT/UNO ELETRONIC,1995.0,1995.0,AUTOMOVEL
1821,2017,25,2017-05-01 11:18:28,2017-05-01 11:39:46,2017-04-01 00:00:00,DE MADRUGADA,2017-05-01 00:00:00,Desconhecida,Não,RUA JOSÉ RODRIGUES SAMPAIO,589.0,GLEBAS I E II,S.CARLOS,SP,"-220,251,306,734,347","-478,837,396,087,391",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. SÃO CARLOS,04º D.P. SÃO CARLOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BYM4582,SP,S.CARLOS,Branco,FIAT/UNO MILLE SX,1996.0,1997.0,AUTOMOVEL
1867,2017,3952,2017-12-04 22:58:41,2017-04-13 00:16:44,2017-12-04 00:00:00,A NOITE,2017-12-04 00:00:00,Desconhecida,Não,RUA 17,0.0,BAIRRO DO ESTÁDIO,RIO CLARO,SP,"-22,404,822,576","-475,588,293,449,999",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.SEC.RIO CLARO PLANTÃO,01º D.P. RIO CLARO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EYD2740,SP,RIO CLARO,Prata,CHEVROLET/CLASSIC LS,2011.0,2012.0,AUTOMOVEL
1888,2017,726,2017-12-04 23:07:49,2017-04-13 01:24:57,2017-12-04 00:00:00,A NOITE,2017-12-04 00:00:00,Conhecida,Não,RODOVIA RODOVIA OSWALDO ORTIZ MONTEIRO K,0.0,ZONA RURAL,CACHOEIRA PAULISTA,SP,"-226,657,403,790,624","-450,093,116,398,437",Rodovia/Estrada,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.LORENA,DEL.POL.CACHOEIRA PAULISTA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DJW3685,SP,GUARATINGUETA,Prata,YAMAHA/YBR 125K,2004.0,2004.0,MOTOCICLO
1899,2017,3729,2017-04-13 03:33:20,2017-04-13 03:38:18,2017-12-04 00:00:00,A TARDE,2017-04-13 00:00:00,Desconhecida,Não,RUA ISIDORO DE LAET,165.0,SANTANA,S.PAULO,SP,"-234,818,593,894,912","-466,264,722,784,957",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,73º D.P. JACANA,20º D.P. AGUA FRIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EXS0137,SP,S.PAULO,Prata,CHEVROLET/CLASSIC LS,2011.0,2012.0,AUTOMOVEL
1908,2017,2515,2017-04-13 04:53:34,2017-04-13 07:25:21,2017-04-13 00:00:00,DE MADRUGADA,2017-04-13 00:00:00,Conhecida,Sim,PRAÇA DA LUZ,0.0,BOM RETIRO,S.PAULO,SP,"-23,535,134,768","-4,663,377,912",Via pública,IC-IML,BO PARA FLAGRANTE,02º D.P. BOM RETIRO,02º D.P. BOM RETIRO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CXK1764,SP,S.PAULO,Vermelho,FIAT/ELBA CSL,1990.0,1990.0,AUTOMOVEL
1967,2017,3075,2017-08-04 00:05:28,2017-08-04 00:38:36,2017-07-04 00:00:00,PELA MANHÃ,2017-08-04 00:00:00,Desconhecida,Não,AVENIDA JAGUARIBE,65.0,JAGUARIBE,OSASCO,SP,"-2,355,454,370,744","-4,679,236,788,924",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,05º D.P. OSASCO,08º D.P. OSASCO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DJF2008,SP,S.PAULO,Branco,GM/MERIVA JOY,2005.0,2005.0,AUTOMOVEL
1994,2017,3537,2017-08-04 00:54:52,2017-08-04 04:08:56,2017-08-04 00:00:00,DE MADRUGADA,2017-08-04 00:00:00,Conhecida,Não,AVENIDA DOS METALURGICOS,600.0,CIDADE TIRADENTES,S.PAULO,SP,"-235,977,734,519,318","-464,035,381,253,644",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,54º D.P. CID. TIRADENTES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CHP6856,SP,S.PAULO,Prata,GM/S10 DELUXE 2.2 E,1996.0,1997.0,CAMINHONETE
2003,2017,715,2017-08-04 04:44:14,2017-08-04 05:34:47,2017-08-04 00:00:00,DE MADRUGADA,2017-08-04 00:00:00,Conhecida,Sim,,0.0,,,,,,Via pública,,BO PARA FLAGRANTE,DEL.POL.VARGEM GRANDE DO SUL,DEL.POL.VARGEM GRANDE DO SUL,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CAM9216,SP,VARGEM GRANDE DO SUL,Branco,VW/KOMBI,1995.0,1995.0,CAMIONETA
2010,2017,7408,2017-08-04 05:14:39,2017-08-04 05:47:32,2017-08-04 00:00:00,DE MADRUGADA,2017-08-04 00:00:00,Conhecida,Não,RUA BRUNO PELICANI,179.0,QUINTINO FACCI II,RIBEIRAO PRETO,SP,"-211,135,683,170,777","-477,942,419,735,895",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,CENTRAL POL.JUD.RIB. PRETO,05º D.P. RIBEIRAO PRETO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FSA7867,SP,RIBEIRAO PRETO,Preta,I/MMC LANCER 2.0,2013.0,2014.0,AUTOMOVEL
2014,2017,2888,2017-08-04 03:38:50,2017-08-04 06:12:55,2017-07-04 00:00:00,A NOITE,2017-08-04 00:00:00,Conhecida,Sim,RUA ANTÔNIO VICENTE LEVANTEZI,67.0,PQ MONTREAL,CAMPINAS,SP,"-229,647,611,334","-47,107,370,628",Via pública,IC-IML,BO PARA FLAGRANTE,DEL.SEC.2ª CAMPINAS-PLANTÃO,06º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,ECF5718,SP,CAMPINAS,Cinza,HONDA/CG 150 TITAN KS,2008.0,2008.0,MOTOCICLO
2022,2017,3770,2017-08-04 05:01:43,2017-08-04 06:23:10,2017-08-04 00:00:00,DE MADRUGADA,2017-08-04 00:00:00,Conhecida,Não,RUA M-19 COM AV. M-23,0.0,CHERVEZON,RIO CLARO,SP,"-22,382,642,265","-475,693,370,399,999",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.SEC.RIO CLARO PLANTÃO,03º D.P. RIO CLARO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CCO4593,SP,AMERICANA,Branco,FIAT/UNO MILLE EP,1995.0,1996.0,AUTOMOVEL
2073,2017,983,2017-06-23 16:52:07,2017-06-23 18:04:52,2017-06-23 00:00:00,A TARDE,2017-06-23 00:00:00,Desconhecida,Não,AVENIDA CASSIOPEIA,0.0,JARDIM SATÉLITE,S.JOSE DOS CAMPOS,SP,"-232,289,831,219,999","-458,911,327,229,999",Via pública,,BO PARA REGISTRO,07º D.P. S.JOSE DOS CAMPOS,07º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CZM8062,SP,S.JOSE DOS CAMPOS,Branco,VW/GOL 1.0,2000.0,2001.0,AUTOMOVEL
2079,2017,777,2017-06-23 17:42:53,2017-06-23 18:14:04,2017-06-20 00:00:00,A NOITE,2017-06-23 00:00:00,Desconhecida,Não,,0.0,,,,,,Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.GUAIRA,DEL.POL.GUAIRA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,CQS9491,SP,OLIMPIA,Preta,HONDA/CG 125 TITAN KS,2003.0,2004.0,MOTOCICLO
2084,2017,5964,2017-06-23 16:21:24,2017-06-23 18:21:20,2017-06-23 00:00:00,A TARDE,2017-06-23 00:00:00,Conhecida,Sim,RUA PERO LOPES LOBO,260.0,SAO MATEUS,S.PAULO,SP,"-236,084,041,358,235","-464,814,291,757,059",Via pública,IC-IML,BO PARA FLAGRANTE,69º D.P. TEOTONIO VILELA,69º D.P. TEOTONIO VILELA,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,DOW8614,SP,AMERICANA,Preta,YAMAHA/FAZER YS250,2005.0,2006.0,MOTOCICLO
